Entity ID,Entity_Name,Plant ID,Plant Name,Sector,Plant State,Generator ID,Unit Code,Nameplate_Capacity,Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating_Year,Retirement Month,County,Retirement_Year,Latitude,Longitude,Balancing Authority Code
56389,Doyon Utilities - Ft. Wainwright,50308,Utility Plants Section,Electric Utility,AK,GEN5,F401,5,6.5,4.5,Conventional Steam Coal,SUB,ST,1,1989, ,Fairbanks North Star,2050,64.825601,-147.6486,
56389,Doyon Utilities - Ft. Wainwright,50308,Utility Plants Section,Electric Utility,AK,GEN2,F401,2.5, , ,Conventional Steam Coal,SUB,ST,1,1945,12,Fairbanks North Star,2009,64.825601,-147.6486,
22199,U S Air Force-Eielson AFB,50392,Eielson AFB Central Heat & Power Plant,Commercial CHP,AK,TG1,,2.5,0.5,2.2,Conventional Steam Coal,SUB,ST,10,1952, ,Fairbanks North Star,2050,64.67141,-147.076,
22199,U S Air Force-Eielson AFB,50392,Eielson AFB Central Heat & Power Plant,Commercial CHP,AK,TG2,,2.5,0.5,2.2,Conventional Steam Coal,SUB,ST,10,1952, ,Fairbanks North Star,2050,64.67141,-147.076,
22199,U S Air Force-Eielson AFB,50392,Eielson AFB Central Heat & Power Plant,Commercial CHP,AK,TG3,,5,5,5,Conventional Steam Coal,SUB,ST,8,1955, ,Fairbanks North Star,2050,64.67141,-147.076,
22199,U S Air Force-Eielson AFB,50392,Eielson AFB Central Heat & Power Plant,Commercial CHP,AK,TG4,,5,5,5,Conventional Steam Coal,SUB,ST,6,1969, ,Fairbanks North Star,2050,64.67141,-147.076,
22199,U S Air Force-Eielson AFB,50392,Eielson AFB Central Heat & Power Plant,Commercial CHP,AK,TG5,,10,9,9.5,Conventional Steam Coal,SUB,ST,10,1987, ,Fairbanks North Star,2050,64.67141,-147.076,
7353,Golden Valley Elec Assn Inc,6288,Healy,Electric Utility,AK,1,,28,25,25,Conventional Steam Coal,LIG,ST,11,1967, ,Denali,2050,63.8542,-148.95,
7353,Golden Valley Elec Assn Inc,6288,Healy,Electric Utility,AK,2,,62,50,50,Conventional Steam Coal,LIG,ST,1,1998, ,Denali,2050,63.8542,-148.95,
772,Archer Daniels Midland Co,55638,Walhalla,Industrial CHP,ND,GEN1,,2,2,2,Conventional Steam Coal,SUB,ST,12,2000,4,Pembina,2012,48.908944,-97.88652,MISO
491,American Crystal Sugar Co,54213,American Crystal Sugar Drayton,Industrial CHP,ND,G1,,6,6,6,Conventional Steam Coal,SUB,ST,9,1965, ,Pembina,2050,48.593158,-97.17608,MISO
491,American Crystal Sugar Co,54214,American Crystal Sugar East Grand Forks,Industrial CHP,MN,G1,,2.5,2.5,2.5,Conventional Steam Coal,SUB,ST,9,1990, ,Polk,2050,47.927202,-97.00715,MISO
491,American Crystal Sugar Co,54214,American Crystal Sugar East Grand Forks,Industrial CHP,MN,G2,,5,5,5,Conventional Steam Coal,SUB,ST,9,1990, ,Polk,2050,47.927202,-97.00715,MISO
491,American Crystal Sugar Co,54212,American Crystal Sugar Crookston,Industrial CHP,MN,G1,,3.5,3.5,3.5,Conventional Steam Coal,SUB,ST,9,1954, ,Polk,2050,47.76468,-96.63338,MISO
491,American Crystal Sugar Co,54212,American Crystal Sugar Crookston,Industrial CHP,MN,G2,,3,3,3,Conventional Steam Coal,SUB,ST,9,1975, ,Polk,2050,47.76468,-96.63338,MISO
57296,Sidney Sugars Incorporated,57914,Sidney MT Plant,Industrial CHP,MT,1,,2,2,2,Conventional Steam Coal,LIG,ST,9,1950, ,Richland,2050,47.717222,-104.1356,NWMT
57296,Sidney Sugars Incorporated,57914,Sidney MT Plant,Industrial CHP,MT,2,,2,2,2,Conventional Steam Coal,LIG,ST,9,1950, ,Richland,2050,47.717222,-104.1356,NWMT
12199,Montana-Dakota Utilities Co,6089,Lewis & Clark,Electric Utility,MT,1,,50,53.1,44,Conventional Steam Coal,LIG,ST,10,1958, ,Richland,2050,47.6785,-104.1567,MISO
12647,"ALLETE, Inc.",10075,Taconite Harbor Energy Center,Electric Utility,MN,GEN1,,84,79,79,Conventional Steam Coal,SUB,ST,1,1957, ,Cook,2050,47.5314,-90.9114,MISO
12647,"ALLETE, Inc.",10075,Taconite Harbor Energy Center,Electric Utility,MN,GEN2,,84,75.9,75.9,Conventional Steam Coal,SUB,ST,1,1957, ,Cook,2050,47.5314,-90.9114,MISO
12647,"ALLETE, Inc.",10075,Taconite Harbor Energy Center,Electric Utility,MN,GEN3,,84,83.6,83.6,Conventional Steam Coal,SUB,ST,1,1967,5,Cook,2015,47.5314,-90.9114,MISO
19883,City of Virginia - (MN),2018,Virginia,Electric Utility,MN,1A,,4,4,4,Conventional Steam Coal,SUB,ST,8,1992,8,St Louis,2006,47.522428,-92.54095,MISO
491,American Crystal Sugar Co,54210,American Crystal Sugar Hillsboro,Industrial CHP,ND,G1,,13.3,13.3,13.3,Conventional Steam Coal,SUB,ST,9,1990, ,Traill,2050,47.437562,-97.06311,MISO
8543,Hibbing Public Utilities Comm,1979,Hibbing,Electric Utility,MN,3,,10,10,10,Conventional Steam Coal,SUB,ST,4,1965, ,St Louis,2050,47.4294,-92.935,MISO
8543,Hibbing Public Utilities Comm,1979,Hibbing,Electric Utility,MN,5,,19.5,19.5,19.5,Conventional Steam Coal,SUB,ST,8,1985, ,St Louis,2050,47.4294,-92.935,MISO
8543,Hibbing Public Utilities Comm,1979,Hibbing,Electric Utility,MN,6,,6.4,1,6.4,Conventional Steam Coal,SUB,ST,2,1996, ,St Louis,2050,47.4294,-92.935,MISO
7570,Great River Energy,6030,Coal Creek,Electric Utility,ND,1,,604.8,573.7,573.7,Conventional Steam Coal,LIG,ST,6,1979, ,McLean,2050,47.377743,-101.1571,MISO
7570,Great River Energy,6030,Coal Creek,Electric Utility,ND,2,,604.8,572.8,572.8,Conventional Steam Coal,LIG,ST,9,1980, ,McLean,2050,47.377743,-101.1571,MISO
1307,Basin Electric Power Coop,6469,Antelope Valley,Electric Utility,ND,1,,434.9,450,450,Conventional Steam Coal,LIG,ST,7,1984, ,Mercer,2050,47.370542,-101.8357,SWPP
1307,Basin Electric Power Coop,6469,Antelope Valley,Electric Utility,ND,2,,434.9,450,450,Conventional Steam Coal,LIG,ST,7,1986, ,Mercer,2050,47.370542,-101.8357,SWPP
7570,Great River Energy,2824,Stanton,Electric Utility,ND,1,,190.2,187.2,187.2,Conventional Steam Coal,SUB,ST,4,1967,3,Mercer,2017,47.286643,-101.3319,MISO
3807,Cleveland Cliffs Inc,10849,Silver Bay Power,Industrial CHP,MN,GEN1,,50,36,36,Conventional Steam Coal,SUB,ST,10,1955, ,Lake,2050,47.286573,-91.26053,MISO
3807,Cleveland Cliffs Inc,10849,Silver Bay Power,Industrial CHP,MN,GEN2,,81.6,69,69,Conventional Steam Coal,SUB,ST,1,1962, ,Lake,2050,47.286573,-91.26053,MISO
1307,Basin Electric Power Coop,2817,Leland Olds,Electric Utility,ND,1,,216,222,222,Conventional Steam Coal,RC,ST,1,1966, ,Mercer,2050,47.280769,-101.3212,SWPP
1307,Basin Electric Power Coop,2817,Leland Olds,Electric Utility,ND,2,,440,445,445,Conventional Steam Coal,RC,ST,12,1975, ,Mercer,2050,47.280769,-101.3212,SWPP
12647,"ALLETE, Inc.",1893,Clay Boswell,Electric Utility,MN,3,,364.5,363.5,363.5,Conventional Steam Coal,SUB,ST,5,1973, ,Itasca,2050,47.2611,-93.6528,MISO
12647,"ALLETE, Inc.",1893,Clay Boswell,Electric Utility,MN,4,,558,584.3,585.3,Conventional Steam Coal,SUB,ST,5,1980, ,Itasca,2050,47.2611,-93.6528,MISO
12647,"ALLETE, Inc.",1893,Clay Boswell,Electric Utility,MN,1,,75,67.3,67.3,Conventional Steam Coal,SUB,ST,7,1958,12,Itasca,2018,47.2611,-93.6528,MISO
12647,"ALLETE, Inc.",1893,Clay Boswell,Electric Utility,MN,2,,75,67.4,67.4,Conventional Steam Coal,SUB,ST,1,1960,12,Itasca,2018,47.2611,-93.6528,MISO
14232,Otter Tail Power Co,8222,Coyote,Electric Utility,ND,1,,450,429,429,Conventional Steam Coal,LIG,ST,5,1981, ,Mercer,2050,47.221447,-101.8157,MISO
12658,"Minnkota Power Coop, Inc",2823,Milton R Young,Electric Utility,ND,1,,257,237,237,Conventional Steam Coal,RC,ST,10,1970, ,Oliver,2050,47.065854,-101.2131,MISO
12658,"Minnkota Power Coop, Inc",2823,Milton R Young,Electric Utility,ND,2,,477,447,455,Conventional Steam Coal,RC,ST,4,1977, ,Oliver,2050,47.065854,-101.2131,MISO
7570,Great River Energy,56786,Spiritwood Station,Electric Utility,ND,1,,106.2,92.3,92.3,Conventional Steam Coal,LIG,ST,11,2014, ,Stutsman,2050,46.926423,-98.49971,MISO
491,American Crystal Sugar Co,54211,American Crystal Sugar Moorhead,Industrial CHP,MN,G1,,3,3,3,Conventional Steam Coal,SUB,ST,9,1948, ,Clay,2050,46.9026,-96.76112,SWPP
491,American Crystal Sugar Co,54211,American Crystal Sugar Moorhead,Industrial CHP,MN,G2,,2,2,2,Conventional Steam Coal,SUB,ST,9,1961, ,Clay,2050,46.9026,-96.76112,SWPP
29820,Smurfit-Stone Corp MI Plant,50812,Stone Container Ontonagon Mill,Industrial CHP,MI,GEN1,,15.6,11.6,11,Conventional Steam Coal,BIT,ST,5,1966,2,Ontonagon,2010,46.87,-88.67389,
12199,Montana-Dakota Utilities Co,2790,R M Heskett,Electric Utility,ND,1,,40,29.5,29.5,Conventional Steam Coal,LIG,ST,11,1954, ,Morton,2050,46.8669,-100.8836,MISO
12199,Montana-Dakota Utilities Co,2790,R M Heskett,Electric Utility,ND,2,,75,74.8,74.8,Conventional Steam Coal,LIG,ST,11,1963, ,Morton,2050,46.8669,-100.8836,MISO
19099,TransAlta Centralia Gen LLC,3845,Transalta Centralia Generation,IPP Non-CHP,WA,1,,729.9,670,670,Conventional Steam Coal,RC,ST,12,1972,12,Lewis,2020,46.755938,-122.8598,BPAT
19099,TransAlta Centralia Gen LLC,3845,Transalta Centralia Generation,IPP Non-CHP,WA,2,,729.9,670,670,Conventional Steam Coal,RC,ST,7,1973,12,Lewis,2025,46.755938,-122.8598,BPAT
22040,Washington State University,50083,Washington State University,Commercial CHP,WA,GEN1,,2,2,2,Conventional Steam Coal,BIT,ST,10,1963,5,Whitman,2005,46.729444,-117.1708,AVA
20847,Wisconsin Electric Power Co,1769,Presque Isle,Electric Utility,MI,1,,25,25,25,Conventional Steam Coal,BIT,ST,9,1955,12,Marquette,2006,46.5789,-87.395,MISO
20847,Wisconsin Electric Power Co,1769,Presque Isle,Electric Utility,MI,2,,37.5,37,37,Conventional Steam Coal,BIT,ST,7,1962,12,Marquette,2006,46.5789,-87.395,MISO
20847,Wisconsin Electric Power Co,1769,Presque Isle,Electric Utility,MI,3,,54.4,58,58,Conventional Steam Coal,BIT,ST,1,1964,10,Marquette,2009,46.5789,-87.395,MISO
20847,Wisconsin Electric Power Co,1769,Presque Isle,Electric Utility,MI,4,,57.8,58,58,Conventional Steam Coal,BIT,ST,12,1966,10,Marquette,2009,46.5789,-87.395,MISO
20847,Wisconsin Electric Power Co,1769,Presque Isle,Electric Utility,MI,5,,90,55,55,Conventional Steam Coal,SUB,ST,12,1974,5,Marquette,2019,46.5789,-87.395,MISO
20847,Wisconsin Electric Power Co,1769,Presque Isle,Electric Utility,MI,6,,90,55,55,Conventional Steam Coal,SUB,ST,4,1975,5,Marquette,2019,46.5789,-87.395,MISO
20847,Wisconsin Electric Power Co,1769,Presque Isle,Electric Utility,MI,7,,90,83,83,Conventional Steam Coal,SUB,ST,6,1978,5,Marquette,2019,46.5789,-87.395,MISO
20847,Wisconsin Electric Power Co,1769,Presque Isle,Electric Utility,MI,8,,90,83,83,Conventional Steam Coal,SUB,ST,11,1978,5,Marquette,2019,46.5789,-87.395,MISO
20847,Wisconsin Electric Power Co,1769,Presque Isle,Electric Utility,MI,9,,90,83,83,Conventional Steam Coal,SUB,ST,8,1979,5,Marquette,2019,46.5789,-87.395,MISO
11701,City of Marquette - (MI),1843,Shiras,Electric Utility,MI,1,,12.5,11.6,11.6,Conventional Steam Coal,BIT,ST,1,1967, ,Marquette,2050,46.530598,-87.39221,MISO
11701,City of Marquette - (MI),1843,Shiras,Electric Utility,MI,2,,21,19.5,19.5,Conventional Steam Coal,BIT,ST,1,1972, ,Marquette,2050,46.530598,-87.39221,MISO
11701,City of Marquette - (MI),1843,Shiras,Electric Utility,MI,3,,44,41,41,Conventional Steam Coal,SUB,ST,4,1983, ,Marquette,2050,46.530598,-87.39221,MISO
50021,Neenah Paper Michigan Inc.,54867,Neenah Paper Munising Mill,Industrial CHP,MI,M387,,6.2,5.8,5.8,Conventional Steam Coal,BIT,ST,1,1930, ,Alger,2050,46.4094,-86.6443,MISO
2138,Brainerd Public Utilities,50636,Brainerd Public Utilities,Electric Utility,MN,VPLS,,0.6,0.6,0.6,Conventional Steam Coal,BIT,ST,1,1959,12,Crow Wing,2014,46.3758,-94.1817,MISO
14232,Otter Tail Power Co,1943,Hoot Lake,Electric Utility,MN,1,,7.5,7.7,7.7,Conventional Steam Coal,SUB,ST,8,1948,12,Otter Tail,2005,46.290641,-96.04325,MISO
14232,Otter Tail Power Co,1943,Hoot Lake,Electric Utility,MN,2,,54.4,58,58,Conventional Steam Coal,SUB,ST,10,1959,6,Otter Tail,2021,46.290641,-96.04325,MISO
14232,Otter Tail Power Co,1943,Hoot Lake,Electric Utility,MN,3,,75,80,80,Conventional Steam Coal,SUB,ST,5,1964,6,Otter Tail,2021,46.290641,-96.04325,MISO
4217,Colstrip Energy LP,10784,Colstrip Energy LP,IPP Non-CHP,MT,GEN1,,46.1,35,40.5,Conventional Steam Coal,WC,ST,2,1990, ,Rosebud,2050,45.9752,-106.6547,NWMT
15298,Talen Montana LLC,6076,Colstrip,IPP Non-CHP,MT,3,,778,740,740,Conventional Steam Coal,SUB,ST,1,1984, ,Rosebud,2050,45.8831,-106.614,NWMT
15298,Talen Montana LLC,6076,Colstrip,IPP Non-CHP,MT,4,,778,740,740,Conventional Steam Coal,SUB,ST,4,1986, ,Rosebud,2050,45.8831,-106.614,NWMT
15298,Talen Montana LLC,6076,Colstrip,IPP Non-CHP,MT,1,,358,307,307,Conventional Steam Coal,SUB,ST,11,1975,7,Rosebud,2022,45.8831,-106.614,NWMT
15298,Talen Montana LLC,6076,Colstrip,IPP Non-CHP,MT,2,,358,307,307,Conventional Steam Coal,SUB,ST,8,1976,7,Rosebud,2022,45.8831,-106.614,NWMT
15298,Talen Montana LLC,2187,J E Corette Plant,IPP Non-CHP,MT,1,,172.8,130,130,Conventional Steam Coal,SUB,ST,6,1968,3,Yellowstone,2015,45.77562,-108.481,NWMT
55965,Verso Corporation,54857,Niagara Mill,Industrial CHP,WI,1ST,,2.5,2.5,2.5,Conventional Steam Coal,BIT,ST,1,1940,6,Marinette,2008,45.7725,-87.9936,MISO
55965,Verso Corporation,54857,Niagara Mill,Industrial CHP,WI,2ST,,9.3,9.3,9.3,Conventional Steam Coal,BIT,ST,1,1964,6,Marinette,2008,45.7725,-87.9936,MISO
58246,Escanaba Operating Services LLC,1771,Escanaba,Electric Utility,MI,1,,11.5,13,13,Conventional Steam Coal,BIT,ST,5,1958,1,Delta,2016,45.771667,-87.06392,MISO
58246,Escanaba Operating Services LLC,1771,Escanaba,Electric Utility,MI,2,,11.5,13,13,Conventional Steam Coal,BIT,ST,5,1958,1,Delta,2016,45.771667,-87.06392,MISO
16233,Heorot Power Management,55749,Hardin Generator Project,IPP Non-CHP,MT,UNT1,,115.7,107,107,Conventional Steam Coal,SUB,ST,3,2006, ,Big Horn,2050,45.7578,-107.6,NWMT
15248,Portland General Electric Co,6106,Boardman,Electric Utility,OR,1,,642.2,585,585,Conventional Steam Coal,SUB,ST,8,1980,1,Morrow,2021,45.693182,-119.8088,PGE
49801,Expera Specialty Solutions,50933,Rhinelander Mill,Industrial CHP,WI,GEN6,,9.3,6.3,8.5,Conventional Steam Coal,BIT,ST,7,1958, ,Oneida,2050,45.6394,-89.4205,MISO
13781,Northern States Power Co - Minnesota,6090,Sherburne County,Electric Utility,MN,3,,938.7,876,876,Conventional Steam Coal,SUB,ST,10,1987, ,Sherburne,2050,45.3808,-93.8931,MISO
13781,Northern States Power Co - Minnesota,6090,Sherburne County,Electric Utility,MN,2,,765.3,682,682,Conventional Steam Coal,SUB,ST,3,1977,12,Sherburne,2022,45.3808,-93.8931,MISO
13781,Northern States Power Co - Minnesota,6090,Sherburne County,Electric Utility,MN,1,,765.3,680,680,Conventional Steam Coal,SUB,ST,4,1976,12,Sherburne,2024,45.3808,-93.8931,MISO
14232,Otter Tail Power Co,6098,Big Stone,Electric Utility,SD,1,,450,474,474,Conventional Steam Coal,SUB,ST,5,1975, ,Grant,2050,45.303652,-96.51007,MISO
20737,Willmar Municipal Utilities,2022,Willmar,Electric Utility,MN,3,,18,16.8,16.8,Conventional Steam Coal,SUB,ST,11,1970, ,Kandiyohi,2050,45.121705,-95.05324,MISO
20737,Willmar Municipal Utilities,2022,Willmar,Electric Utility,MN,ST1,,4,4,4,Conventional Steam Coal,SUB,ST,10,1949,12,Kandiyohi,2006,45.121705,-95.05324,MISO
24263,Cellu Tissue Holdings Inc,52017,Menominee Acquisition,Industrial CHP,MI,ST2,,2.5,2.5,2.5,Conventional Steam Coal,BIT,ST,6,1950,3,Menominee,2013,45.0975,-87.5958,MISO
13781,Northern States Power Co - Minnesota,1915,Allen S King,Electric Utility,MN,1,,598.4,511,511,Conventional Steam Coal,SUB,ST,3,1958, ,Washington,2050,45.03,-92.7786,MISO
13781,Northern States Power Co - Minnesota,1927,Riverside (MN),Electric Utility,MN,8,,238.8,227,227,Conventional Steam Coal,SUB,ST,4,1964,4,Hennepin,2009,45.0203,-93.2753,MISO
13781,Northern States Power Co - Minnesota,1912,High Bridge,Electric Utility,MN,5,,113.6,99,99,Conventional Steam Coal,SUB,ST,8,1956,12,Ramsey,2007,44.9314,-93.1117,MISO
13781,Northern States Power Co - Minnesota,1912,High Bridge,Electric Utility,MN,6,,163.2,172.1,172.1,Conventional Steam Coal,SUB,ST,4,1959,12,Ramsey,2007,44.9314,-93.1117,MISO
20860,Wisconsin Public Service Corp,4078,Weston,Electric Utility,WI,3,,350.5,323.9,331.7,Conventional Steam Coal,SUB,ST,12,1981, ,Marathon,2050,44.8606,-89.6553,MISO
20860,Wisconsin Public Service Corp,4078,Weston,Electric Utility,WI,4,,595,548.4,557.6,Conventional Steam Coal,SUB,ST,7,2008, ,Marathon,2050,44.8606,-89.6553,MISO
20860,Wisconsin Public Service Corp,4078,Weston,Electric Utility,WI,1,,60,50.7,51.3,Conventional Steam Coal,SUB,ST,12,1954,6,Marathon,2015,44.8606,-89.6553,MISO
13781,Northern States Power Co - Minnesota,1904,Black Dog,Electric Utility,MN,1,,81,71.7,50,Conventional Steam Coal,SUB,ST,8,1952,6,Dakota,2002,44.8108,-93.2501,MISO
13781,Northern States Power Co - Minnesota,1904,Black Dog,Electric Utility,MN,3,,113.6,79,79,Conventional Steam Coal,SUB,ST,7,1955,4,Dakota,2015,44.8108,-93.2501,MISO
13781,Northern States Power Co - Minnesota,1904,Black Dog,Electric Utility,MN,4,,163.2,153,153,Conventional Steam Coal,SUB,ST,9,1960,4,Dakota,2015,44.8108,-93.2501,MISO
17604,Southern Minnesota Beet Sugar,54533,Southern Minnesota Beet Sugar,Industrial CHP,MN,1,,7.5,7.5,7.5,Conventional Steam Coal,SUB,ST,9,1976, ,Renville,2050,44.796405,-95.17979,MISO
19125,City of Traverse City - (MI),1859,Bayside,Electric Utility,MI,1,,2.5,3.1,3.1,Conventional Steam Coal,BIT,ST,1,1946,12,Grand Traverse,2002,44.765833,-85.625,
19125,City of Traverse City - (MI),1859,Bayside,Electric Utility,MI,3,,7.5,9.5,9.5,Conventional Steam Coal,BIT,ST,1,1954,12,Grand Traverse,2002,44.765833,-85.625,
19125,City of Traverse City - (MI),1859,Bayside,Electric Utility,MI,4,,14,13.7,13.7,Conventional Steam Coal,BIT,ST,1,1968,12,Grand Traverse,2002,44.765833,-85.625,
20860,Wisconsin Public Service Corp,4072,Pulliam,Electric Utility,WI,3,,30,25.8,25.8,Conventional Steam Coal,SUB,ST,1,1943,12,Brown,2007,44.54,-88.0086,MISO
20860,Wisconsin Public Service Corp,4072,Pulliam,Electric Utility,WI,4,,30,30.1,30.1,Conventional Steam Coal,SUB,ST,8,1947,12,Brown,2007,44.54,-88.0086,MISO
20860,Wisconsin Public Service Corp,4072,Pulliam,Electric Utility,WI,5,,50,47.7,48.2,Conventional Steam Coal,SUB,ST,9,1949,6,Brown,2015,44.54,-88.0086,MISO
20860,Wisconsin Public Service Corp,4072,Pulliam,Electric Utility,WI,6,,69,69.8,71,Conventional Steam Coal,SUB,ST,11,1951,6,Brown,2015,44.54,-88.0086,MISO
20860,Wisconsin Public Service Corp,4072,Pulliam,Electric Utility,WI,7,,81.6,76.1,77.8,Conventional Steam Coal,SUB,ST,11,1958,10,Brown,2018,44.54,-88.0086,MISO
20860,Wisconsin Public Service Corp,4072,Pulliam,Electric Utility,WI,8,,149.6,133.8,136.4,Conventional Steam Coal,SUB,ST,12,1964,10,Brown,2018,44.54,-88.0086,MISO
55919,Georgia-Pacific Consumer Oper. Green Bay LLC,10360,Consumer Operations LLC,Industrial CHP,WI,GEN1,,1.5,1.4,1.4,Conventional Steam Coal,BIT,ST,1,1929,2,Brown,2002,44.4936,-88.0303,MISO
55919,Georgia-Pacific Consumer Oper. Green Bay LLC,10360,Consumer Operations LLC,Industrial CHP,WI,GEN2,,3,2.8,2.8,Conventional Steam Coal,BIT,ST,1,1933,2,Brown,2002,44.4936,-88.0303,MISO
55919,Georgia-Pacific Consumer Oper. Green Bay LLC,10360,Consumer Operations LLC,Industrial CHP,WI,GEN3,,3,2.8,2.8,Conventional Steam Coal,BIT,ST,1,1940,2,Brown,2002,44.4936,-88.0303,MISO
55919,Georgia-Pacific Consumer Oper. Green Bay LLC,10360,Consumer Operations LLC,Industrial CHP,WI,GEN4,,2.5,2.3,2.4,Conventional Steam Coal,BIT,ST,1,1947,2,Brown,2002,44.4936,-88.0303,MISO
55919,Georgia-Pacific Consumer Oper. Green Bay LLC,10360,Consumer Operations LLC,Industrial CHP,WI,GEN8,,25,20,20,Conventional Steam Coal,BIT,ST,1,1977,12,Brown,2004,44.4936,-88.0303,MISO
55919,Georgia-Pacific Consumer Oper. Green Bay LLC,10360,Consumer Operations LLC,Industrial CHP,WI,GEN5,,10,7.5,7.5,Conventional Steam Coal,BIT,ST,1,1954,10,Brown,2014,44.4936,-88.0303,MISO
55919,Georgia-Pacific Consumer Oper. Green Bay LLC,10360,Consumer Operations LLC,Industrial CHP,WI,GEN10,,28.2,26.4,26.5,Conventional Steam Coal,BIT,ST,7,2005,10,Brown,2014,44.4936,-88.0303,MISO
55965,Verso Corporation,10476,Whiting Mill,Industrial CHP,WI,GEN4,,4.1,4.1,4.1,Conventional Steam Coal,SUB,ST,7,1951,10,Portage,2014,44.48873,-89.57282,MISO
60660,Catalyst Paper - Biron Mill,10234,Biron Mill,Industrial CHP,WI,GEN1,,17,15.3,15.3,Conventional Steam Coal,BIT,ST,9,1964, ,Wood,2050,44.43,-89.78,MISO
60660,Catalyst Paper - Biron Mill,10234,Biron Mill,Industrial CHP,WI,GEN5,,21.5,20,20,Conventional Steam Coal,SUB,ST,2,1987, ,Wood,2050,44.43,-89.78,MISO
1307,Basin Electric Power Coop,56609,Dry Fork Station,Electric Utility,WY,1,,483.7,380,405,Conventional Steam Coal,SUB,ST,11,2011, ,Campbell,2050,44.388889,-105.4608,WACM
4716,Dairyland Power Coop,4140,Alma,Electric Utility,WI,1,,15,18.9,20.6,Conventional Steam Coal,BIT,ST,9,1947,3,Buffalo,2012,44.308333,-91.91111,MISO
4716,Dairyland Power Coop,4140,Alma,Electric Utility,WI,2,,15,18,19.7,Conventional Steam Coal,BIT,ST,10,1947,3,Buffalo,2012,44.308333,-91.91111,MISO
4716,Dairyland Power Coop,4140,Alma,Electric Utility,WI,3,,15,18.9,20.6,Conventional Steam Coal,BIT,ST,7,1951,3,Buffalo,2012,44.308333,-91.91111,MISO
4716,Dairyland Power Coop,4140,Alma,Electric Utility,WI,4,,54.4,40.4,44.6,Conventional Steam Coal,BIT,ST,4,1957,9,Buffalo,2014,44.308333,-91.91111,MISO
4716,Dairyland Power Coop,4140,Alma,Electric Utility,WI,5,,81.6,62.1,69,Conventional Steam Coal,BIT,ST,1,1960,10,Buffalo,2014,44.308333,-91.91111,MISO
4716,Dairyland Power Coop,4271,John P Madgett,Electric Utility,WI,1,,387,392.6,394.5,Conventional Steam Coal,SUB,ST,11,1979, ,Buffalo,2050,44.303583,-91.91265,MISO
19545,"Black Hills Power, Inc. d/b/a",56319,Wygen 2,Electric Utility,WY,1,,95,90,91,Conventional Steam Coal,SUB,ST,1,2008, ,Campbell,2050,44.2919,-105.3811,WACM
19545,"Black Hills Power, Inc. d/b/a",56596,Wygen III,Electric Utility,WY,5,,116,100,103,Conventional Steam Coal,SUB,ST,4,2010, ,Campbell,2050,44.2919,-105.3806,WACM
